,Abbreviation,Word
743,Thermonucl. ,thermonuclear
744,Topogr. ,"topography, topographic(al)"
745,transf. ,transferred sense
746,transl. ,"translation, translating"
747,Transl. ,translation
748,Transubstant. ,transubstantiation
749,Treatm. ,treatment
750,Trigonom. ,trigonometry
751,Troubl. ,troublesome
752,Typogr. ,typography
753,U.K.,United Kingdom
754,ult. ,ultimately
755,Univ. ,university
756,unkn. ,unknown
757,Unnat. ,unnatural
758,Unoffic.,unofficial
759,U.S.A.F. ,United States Air Force
760,U.S.S.R. ,Union of Soviet Socialist Republics
761,Utilit. ,utilitarian
762,v.,verb
763,Va. ,Virginia
764,Vac. ,vacation
765,Valedict.,valediction
766,vbl. ns. ,verbal nouns
767,Veg. Phys. ,vegetable physiology
768,Veg. Physiol. ,vegetable physiology
769,Vertebr. ,vertebrate
770,Vet. Med. ,veterinary medicine
771,Vet. Path. ,veterinary pathology
772,Vet. Sci. ,veterinary science
773,Vet. Surg. ,veterinary surgery
774,Vindic. ,vindication
775,Vindic. ,vindicated
776,w.,west
777,W. ,"west, western"
778,wd. ,      word
779,Wd. ,      word
780,west. ,      western
781,Westm. ,      Westminster
782,Will. ,      William
783,Wilts. ,      Wiltshire
784,Wis. ,      Wisconsin
785,Wisd. ,      wisdom
786,wk. ,      weak
787,Wk. ,      week
788,Wk. ,      work
789,Wkly. ,      weekly
790,Wks. ,      works
791,Worc. ,      Worcestershire
792,Worcs. ,      Worcestershire
793,Writ. ,      writing
794,Writ. ,      writings
795,W. Va. ,      West Virginia
796,Yorksh. ,Yorkshire
797,Zech.,(in the Bible) Zechariah
798,Zeph. ,    (in the Bible) Zephaniah
799,Zool. ,"    zoology, zoological"
